Date,Close,Open,High,Low,Vol.,Change %,LogRet
2010-05-20,1047.9,"1,069.88","1,070.46","1,036.89",-,-2.51%,
2010-05-21,1053.98,"1,041.71","1,054.36","1,027.80",-,0.58%,0.005785313108309431
2010-05-24,1041.88,"1,044.65","1,049.72","1,040.10",-,-1.15%,-0.01154670105547062
2010-05-25,1026.38,"1,022.78","1,026.77","1,005.11",-,-1.49%,-0.014988725002824665
2010-05-26,1026.26,"1,034.54","1,044.43","1,025.54",-,-0.01%,-0.00011692259737472455
2010-05-27,1063.17,"1,042.40","1,063.48","1,037.74",-,3.60%,0.035333885363112216
2010-05-28,1054.08,"1,067.37","1,068.66","1,052.78",-,-0.85%,-0.00858666274742692
2010-06-01,1045.17,"1,038.18","1,059.51","1,037.68",-,-0.85%,-0.008488796955335332
2010-06-02,1054.04,"1,039.33","1,054.52","1,035.12",-,0.85%,0.008450848451450277
2010-06-03,1061.4,"1,065.01","1,069.64","1,057.05",-,0.70%,0.006958391348458548
2010-06-04,1029.76,"1,062.09","1,062.09","1,026.71",-,-2.98%,-0.030263026029830442
2010-06-07,1015.47,"1,025.20","1,028.90","1,015.22",-,-1.39%,-0.013974205877389956
2010-06-08,1018.89,"1,010.48","1,019.67","1,004.21",-,0.34%,0.003362239939662892
2010-06-09,1022.73,"1,019.13","1,032.81","1,018.72",-,0.38%,0.0037617230710695893
2010-06-10,1045.62,"1,027.92","1,047.58","1,023.78",-,2.24%,0.022134488403299457
2010-06-11,1051.44,"1,051.60","1,052.88","1,041.95",-,0.56%,0.005550642273147055
2010-06-14,1061.62,"1,061.22","1,070.78","1,060.36",-,0.97%,0.00963539015434911
2010-06-15,1078.43,"1,064.31","1,078.90","1,062.65",-,1.58%,0.015710236434097524
2010-06-16,1078.96,"1,079.94","1,082.03","1,073.99",-,0.05%,0.0004913344464023695
2010-06-17,1085.03,"1,086.29","1,087.76","1,077.16",-,0.56%,0.005610022153295091
2010-06-18,1086.07,"1,084.31","1,089.82","1,083.52",-,0.10%,0.0009580397766537629
2010-06-21,1090.1,"1,095.20","1,100.71","1,087.75",-,0.37%,0.00370375899576203
2010-06-22,1077.53,"1,080.77","1,088.18","1,077.29",-,-1.15%,-0.011598050316619535
2010-06-23,1070.01,"1,074.73","1,076.38","1,063.27",-,-0.70%,-0.007003390611020954
2010-06-24,1053.83,"1,066.53","1,068.28","1,052.60",-,-1.51%,-0.015236847436628231
2010-06-25,1048.16,"1,048.83","1,052.43","1,042.20",-,-0.54%,-0.005394900786478196
2010-06-28,1052.93,"1,049.98","1,057.33","1,045.86",-,0.46%,0.0045405082075902214
2010-06-29,1021.2,"1,039.10","1,040.22","1,018.27",-,-3.01%,-0.030598347823827865
2010-06-30,1018.3,"1,026.97","1,027.05","1,017.37",-,-0.28%,-0.0028438361897089592
